"num_id","contentId","text","cluster","start_line","end_line","start_timestamp","end_timestamp","station_id","url","segmentLength"
1,"1 1","high temperatures will be in the low to mid 90s the heat index will be 100-105 this afternoon isolated showers and thunderstorms will pop up today but with drier air in place the rain chance drops to 20 and even lower heading into the evening an area of high pressure continues to be across the florida peninsula with southwest to west winds around 10 mph this afternoon there is a slim chance of an isolated shower or a thunderstorm tonight it will be very warm again with low temperatures in the mid 70s to low 80s wednesday will feature above-normal mostly sunny skies and temperatures with most of us back in the low to mid 90s there is a 20 of isolated thunderstorms tomorrow thursday the rain chance increases to 40 with an onshore wind the chance of scattered showers and thunderstorms",1,"98532842","98532876","07/25/2017 16:20:31","07/25/2017 16:21:48","BN9--07-25-2017-16-12-00","BN9072517162018.mp4",141
1,"1 2","high temperatures will be in the low to mid 90s the heat index will be 100-105 this afternoon isolated showers and thunderstorms will pop up today but with drier air in place the rain chance drops to 20 and even lower heading into the evening an area of high pressure continues to be across the florida peninsula with southwest to west winds around 10 mph this afternoon there is a slim chance of an isolated shower or a thunderstorm tonight it will be very warm again with low temperatures in the mid 70s to low 80s wednesday will feature above-normal mostly sunny skies and temperatures with most of us back in the low to mid 90s there is a 20 of isolated thunderstorms tomorrow thursday the rain chance increases to 40 with an onshore wind the chance of scattered showers and thunderstorms",1,"98532842","98532876","07/25/2017 16:20:31","07/25/2017 16:21:48","BN9--07-25-2017-16-12-00","BN9072517162018.mp4",141
5,"5 1","it will be very warm again with low temperatures in the mid 70s to low 80s partly sunny and hot today high temperatures will be in the low to mid 90s the heat index will be 100-105 this afternoon isolated showers and thunderstorms will pop up today but with drier air in place the rain chance drops to 20 near the coast and 30 inland an area of high pressure continues to be across the florida peninsula with",1,"98536107","98536123","07/25/2017 18:28:59","07/25/2017 18:29:23","BN9--07-25-2017-18-27-00","BN9072517182712.mp4",77
7,"7 1","a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds around 10 mph this evening there is a slim chance of now on bay news 9 vice presidential tie-breaker the u-s senated has voted republican legislation to repeal and replace the affordable care act and",1,"98538429","98538454","07/25/2017 19:59:06","07/25/2017 19:59:54","BN9--07-25-2017-19-53-00","BN9072517195751.mp4",94
8,"8 1","a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds around 10 mph this evening there is a slim chance of now on bay news 9 vice presidential tie-breaker the u-s senated has voted republican legislation to repeal and replace the affordable care act and",1,"98538429","98538454","07/25/2017 19:59:06","07/25/2017 19:59:54","BN9--07-25-2017-19-57-00","BN9072517195751.mp4",94
9,"9 5","a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds around 10 mph this evening there is a slim chance of an isolated shower or a thunderstorm tonight it will be very warm again with low temperatures in the mid 70s to low 80s waking up tomorrow morning skies will be mostly sunny wednesday will feature mostly sunny skies and above-normal temperatures with most of us back in the low to mid 90s there is a 20 of isolated thunderstorms tomorrow a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today",1,"98538812","98538850","07/25/2017 20:09:08","07/25/2017 20:10:35","BN9--07-25-2017-20-03-00","BN9072517200755.mp4",153
10,"10 1","a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds i'm veronica cintron here's a look at the top stories this hour on bay news 9 the south florida museum reopened today for the first time since",1,"98539250","98539272","07/25/2017 20:30:10","07/25/2017 20:30:53","BN9--07-25-2017-20-29-00","BN9072517203004.mp4",86
11,"11 1","hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds now on bay news 9 vice presidential tie-breaker the u-s senated has voted to debate republican legislation to repeal and replace the affordable care act and",1,"98540052","98540076","07/25/2017 20:58:44","07/25/2017 20:59:47","BN9--07-25-2017-20-57-00","BN9072517205816.mp4",84
12,"12 4","a hot day today we reached a high of 94 in tampa a few isolated showers and thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds around 10 mph this evening there is a slim chance of an isolated shower or a thunderstorm tonight it will be very warm again with low temperatures in the mid 70s to low 80s waking up tomorrow morning skies will be mostly sunny wednesday will feature mostly sunny skies and above-normal temperatures with most of us back in the low to mid 90s there is a 20 of isolated",1,"98540461","98540493","07/25/2017 21:09:57","07/25/2017 21:12:01","BN9--07-25-2017-21-04-00","BN9072517210821.mp4",128
13,"13 1","a hot day today we reached a high of 94 in tampa a few isoand thunderstorms have been popping up today but with drier air in place the rain chance drops to 20 and even lower heading into the overnight hours an area of high pressure continues to be across the florida peninsula with southwest to west winds i'm veronica cintron here's a look at the top stories this hour on bay news 9 the south florida museum reopened today for the first time since",1,"98540848","98540869","07/25/2017 21:30:26","07/25/2017 21:31:09","BN9--07-25-2017-21-29-00","BN9072517212829.mp4",84
