FileName                 ,DirPath                                              ,StartTime           ,EndTime             ,Segment_ID 
BN9072517000122.mp4      ,AHCA_LocalNews_071717-072417/videos/2017/July/24     ,7/25/17 0:01:22,7/25/17 0:03:22,      26752 
BN9072517000323.mp4      ,AHCA_LocalNews_071717-072417/videos/2017/July/24     ,7/25/17 0:03:23,7/25/17 0:05:23,      26752 
BN9072517000524.mp4      ,AHCA_LocalNews_071717-072417/videos/2017/July/24     ,7/25/17 0:05:24,7/25/17 0:07:24,      26752 
KALB072517221829.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 22:18:29,7/25/17 22:20:29,      28936 
KALB072517222030.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 22:20:30,7/25/17 22:22:30,      28936 
KALB072517222230.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 22:22:30,7/25/17 22:24:30,      28936 
KALB072517222431.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 22:24:31,7/25/17 22:26:31,      28936 
KALB072517222632.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 22:26:32,7/25/17 22:28:32,      28936 
KALB072517222832.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 22:28:32,7/25/17 22:30:32,      28936 
KALB072517181508.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:15:08,7/25/17 18:17:08,      29637 
KALB072517181709.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:17:09,7/25/17 18:19:09,      29637 
KALB072517181909.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:19:09,7/25/17 18:21:09,      29637 
KALB072517182110.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:21:10,7/25/17 18:23:10,      29637 
KALB072517182311.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:23:11,7/25/17 18:25:11,      29637 
KALB072517182511.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:25:11,7/25/17 18:27:11,      29637 
KALB072517180103.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:01:03,7/25/17 18:03:03,      29639 
KALB072517180304.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:03:04,7/25/17 18:05:04,      29639 
KALB072517180505.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:05:05,7/25/17 18:07:05,      29639 
KALB072517180705.mp4     ,AHCA_LocalNews_072517-080917/videos/2017/July/25     ,7/25/17 18:07:05,7/25/17 18:09:05,      29639 
